"SiteID","SiteName","Prefecture","Region","Period","wild_nuts","rice_and_millets","acorn_chestnut","chestnut_beechnut","acorn_beechnut","hazelnut","beechnut","millet","rice","acorn","walnut","buckeye","chestnut"
"J877","西山遺跡","Aomori","Tohoku","Yayoi",1,0,0,0,0,0,0,0,0,0,1,0,0
"J79","中居林遺跡","Aomori","Tohoku","Yayoi",0,1,0,0,0,0,0,0,1,0,0,0,0
"J277","垂柳遺跡","Aomori","Tohoku","Yayoi",1,0,0,0,0,0,0,0,0,0,1,0,0
"J168","八戸城跡","Aomori","Tohoku","Yayoi",1,1,0,0,0,0,0,1,0,0,1,0,0
"J167","八幡遺跡","Aomori","Tohoku","Yayoi",1,1,0,0,0,0,0,1,1,0,1,0,1
"J717","田向冷水遺跡","Aomori","Tohoku","Yayoi",1,1,0,0,0,0,0,0,1,1,1,1,1
"J763","石江遺跡群","Aomori","Tohoku","Yayoi",1,0,0,0,0,0,0,0,0,0,1,1,0
"J248","和当地Ⅰ遺跡","Iwate","Tohoku","Yayoi",0,0,0,0,0,0,0,0,0,0,0,0,0
"J422","市川橋遺跡","Miyagi","Tohoku","Yayoi",1,0,0,0,0,0,0,0,0,0,0,1,0
"J358","富沢遺跡","Miyagi","Tohoku","Yayoi",1,1,0,0,0,0,0,0,1,0,1,1,0
"J470","当麻館跡","Akita","Tohoku","Yayoi",0,1,0,0,0,0,0,1,1,0,0,0,0
"J243","向河原遺跡","Yamagata","Tohoku","Yayoi",1,1,0,0,0,0,0,1,1,0,1,0,0
"J468","庚壇遺跡","Yamagata","Tohoku","Yayoi",1,1,0,0,0,0,0,0,1,0,1,1,0
"J1018","龍門寺遺跡","Fukushima","Tohoku","Yayoi",1,0,0,0,1,0,0,0,0,0,1,1,0
"J504","戸田条里遺跡","Fukushima","Tohoku","Yayoi",0,1,0,0,0,0,0,0,1,0,0,0,0
"J907","赤柴遺跡","Fukushima","Tohoku","Yayoi",1,0,0,0,0,0,0,0,0,0,0,0,0
"J604","桜町遺跡","Fukushima","Tohoku","Yayoi",1,1,0,0,0,0,0,1,1,1,1,0,0
"J1014","鷹ノ巣Ⅱ遺跡","Ibaraki","Kanto","Yayoi",1,0,0,0,0,0,0,0,0,0,1,0,0
"J519","新保遺跡","Gunma","Kanto","Yayoi",1,0,0,0,0,0,0,0,0,1,1,1,1
"J529","日高遺跡","Gunma","Kanto","Yayoi",1,1,0,0,0,0,0,0,1,1,1,0,0
"J517","新保田中村前遺跡","Gunma","Kanto","Yayoi",1,1,0,0,0,0,0,1,1,1,1,1,1
