SiteID,SiteNo,SiteName_KOR,SiteName_EN,Region,Prefectual_City,Period,millets,rice,acorn,walnut,hazelnut,nut_indet,rice_and_millets,wild_nuts
K0001,1,무산 호곡동 유적,"Hogok-dong Site, Musan",North Korea, Musan,Early Mumun,1,0,0,0,0,0,1,0
K0002,1,무산 호곡동 유적,"Hogok-dong Site, Musan",North Korea, Musan,Late Mumun,1,0,0,0,0,0,1,0
K0003,2,봉산 마산리 유적,"Masan-ri Site, Bongsan",North Korea, Bongsan,Early Mumun,1,0,0,0,0,0,1,0
K0004,2,봉산 마산리 유적,"Masan-ri Site, Bongsan",North Korea, Bongsan,Middle Chulmun,1,0,0,1,0,0,1,1
K0005,3,봉산 지탑리 유적,"Jitap-ri Site, Bongsan",North Korea, Bongsan,Middle Chulmun,1,0,0,0,0,0,1,0
K0006,4,송림 석탄리 유적,"Seoktan-ri Site, Songrim",North Korea, Songrim,Late Mumun,1,0,0,0,0,0,1,0
K0007,5,시중 심귀리 유적,"Simgwi-ri Site, Sijung",North Korea, Sijung,Mumun,0,0,1,0,0,0,0,1
K0008,6,연안 금곡동 유적,"Geumgok-dong Site, Yeonan",North Korea, Yeonan,Late Mumun,1,0,0,0,0,0,1,0
K0009,7,청단 소정리 유적,"Sojeong-ri Site, Cheongdan",North Korea, Cheongdan,Late Chulmun,0,0,0,0,0,0,0,0
K0010,8,평양 남경 유적,"Namgyeong Site, Pyeongyang",North Korea, Pyeongyang,Early Mumun,1,1,0,0,0,0,1,0
K0011,8,평양 남경 유적,"Namgyeong Site, Pyeongyang",North Korea, Pyeongyang,Late Chulmun,1,0,1,0,0,0,1,1
K0012,9,평양 표대 유적,"Pyodae Site, Pyeongyang",North Korea, Pyeongyang,Early Mumun,1,1,0,0,0,0,1,0
K0013,10,회령 오동 유적,"O-dong Site, Hoeryeong",North Korea, Hoeryeong,Mumun,1,0,0,0,0,0,1,0
K0014,11,가평 달전리 유적,"Daljeon-ri Site, Gapyeong","Seoul, Gyeonggi-do, Incheon", Gapyeong,Late Mumun,0,1,0,0,0,0,1,0
K0015,12,가평 대성리 유적,"Daeseong-ri Site, Gapyeong","Seoul, Gyeonggi-do, Incheon", Gapyeong,Late Mumun,1,0,0,0,0,0,1,0
K0016,13,가평 연하리 유적,"Yeonha-ri Site, Gapyeong","Seoul, Gyeonggi-do, Incheon", Gapyeong,Early Mumun,1,1,0,0,0,0,1,0
K0017,15,김포 가현리 유적,"Gahyeon-ri Site, Gimpo","Seoul, Gyeonggi-do, Incheon", Gimpo,Late Chulmun,1,1,0,0,0,0,1,0
K0018,16,남양주 호평동 지새울 유적,"Jisaeul Site, Hopyeong-dong, Namyangju","Seoul, Gyeonggi-do, Incheon"," Hopyeong-dong, Namyangju",Late Chulmun,0,0,1,1,0,0,0,1
K0019,18,서울 암사동 유적,"Amsa-dong Site, Seoul","Seoul, Gyeonggi-do, Incheon", Seoul,Middle Chulmun,0,0,1,1,0,0,0,1
K0020,19,시흥 능곡동 유적,"Neunggok-dong Site, Siheung","Seoul, Gyeonggi-do, Incheon", Siheung,Early Mumun,0,0,0,0,0,0,0,0
K0021,19,시흥 능곡동 유적,"Neunggok-dong Site, Siheung","Seoul, Gyeonggi-do, Incheon", Siheung,Middle Chulmun,1,0,1,0,0,1,1,1
K0022,22,여주 흔암리 유적,"Heunam-ri Site, Yeoju","Seoul, Gyeonggi-do, Incheon", Yeoju,Early Mumun,1,1,0,0,0,0,1,0
K0023,23,인천 동양동 유적,"Dongyang-dong Site, Incheon","Seoul, Gyeonggi-do, Incheon", Incheon,Early Mumun,0,0,1,0,0,0,0,1
K0024,24,인천 문학동 유적,"Munhak-dong Site, Incheon","Seoul, Gyeonggi-do, Incheon", Incheon,Mumun,0,0,0,0,0,0,0,0
K0025,25,인천 용유도 남북동 유적,"Yongyudo Nambuk-dong Site, Incheon","Seoul, Gyeonggi-do, Incheon", Incheon,Late Chulmun,0,0,0,0,0,1,0,1
K0026,26,인천 운서동 I 유적,"Unseo-dong I Site, Incheon","Seoul, Gyeonggi-do, Incheon", Incheon,Early Chulmun,0,0,1,0,0,0,0,1
K0027,27,인천 중산동 유적,"Jungsan-dong Site, Incheon","Seoul, Gyeonggi-do, Incheon", Incheon,Late Chulmun,1,0,0,0,0,1,1,1
K0028,28,일산 새도시 유적 1지역,"Locality 1, 새도시 Site, Ilsan","Seoul, Gyeonggi-do, Incheon"," 새도시 Site, Ilsan",Late Chulmun,0,1,0,0,0,0,1,0
K0029,29,일산 새도시 유적 2 지역,"Locality 2, 새도시 Site, Ilsan","Seoul, Gyeonggi-do, Incheon", Incheon,Late Chulmun,0,1,0,1,0,0,1,1
K0030,31,평택 소사동 유적,"Sosa-dong Site, Pyeongtaek","Seoul, Gyeonggi-do, Incheon", Pyeongtaek,Early Mumun,0,1,0,0,0,0,1,0
