"ID","Species_Eng","CommonName","Classification","Classification2"
41846,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
1176,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1274,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1365,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1669,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
1681,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
1677,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1698,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1702,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1711,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1761,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1783,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1861,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1871,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1937,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1974,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
2639,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
2776,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
2780,"Setaria italica/Panicum miliaceum","foxtail/proso milllet","crop (millet)","Millets + Rice"
339,"Oryza sativa","rice","crop (rice)","Millets + Rice"
415,"Oryza sativa","rice","crop (rice)","Millets + Rice"
693,"Oryza sativa","rice","crop (rice)","Millets + Rice"
1150,"Oryza sativa","rice","crop (rice)","Millets + Rice"
1709,"Oryza sativa","rice","crop (rice)","Millets + Rice"
2228,"Oryza sativa","rice","crop (rice)","Millets + Rice"
2328,"Oryza sativa","rice","crop (rice)","Millets + Rice"
1552,"Quercus subgen. Quercus","white oaks","acorn","Wild Nuts"
1292,"Quercus sp.","oaks","acorn","Wild Nuts"
1385,"Quercus sp.","oaks","acorn","Wild Nuts"
1878,"Quercus sp.","oaks","acorn","Wild Nuts"
248,"Juglans sp.","walnut","walnut","Wild Nuts"
268,"Juglans sp.","walnut","walnut","Wild Nuts"
418,"Juglans sp.","walnut","walnut","Wild Nuts"
254,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1291,"Juglans sp.","walnut","walnut","Wild Nuts"
1276,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1367,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1480,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1626,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1679,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1699,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1703,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1712,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1753,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1762,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1784,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1862,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1872,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1386,"Juglans sp.","walnut","walnut","Wild Nuts"
1939,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2622,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2640,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1484,"Juglans sp.","walnut","walnut","Wild Nuts"
2775,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2778,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
